,age,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,subscribed,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_nan,contact_telephone,contact_nan,poutcome_other,poutcome_success,poutcome_nan,TotalLoan
0,32.0,single,1.0,no,0.66823798179992,1,0,1,apr,1.6247704104126863,2,131,2,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6931471805599453
1,39.0,divorced,0.5,no,0.7682199381237663,1,1,1,apr,0.6780117564948446,2,133,1,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0986122886681098
2,59.0,married,0.5,no,0.8739661074693649,1,1,1,apr,0.41259272203239644,2,239,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098
3,47.0,married,0.5,no,0.6703671522281254,1,1,1,apr,0.7635696448564911,1,238,2,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098
4,54.0,married,0.5,no,0.8649609631007381,1,0,1,apr,1.1071593492465681,1,307,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
5,46.0,divorced,1.0,no,0.8419375140203337,1,0,1,apr,1.084202817447958,1,133,3,no,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
6,34.0,married,0.5,no,1.1027616722149212,1,1,1,apr,0.5073862394640812,2,253,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098
7,45.0,divorced,0.5,no,0.6696579323402417,1,1,1,apr,0.7164780373226406,4,329,4,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0986122886681098
8,58.0,divorced,1.0,no,0.6405034470745234,1,0,1,apr,0.3982863263811587,2,135,2,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
9,49.0,divorced,1.0,no,2.7752705007405094,0,0,1,apr,0.7853311366380037,3,132,2,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,38.0,single,0.5,no,0.776861374519107,1,0,2,apr,1.6196856536945763,1,132,3,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
11,49.0,married,0.5,no,0.5907083954135964,1,0,2,apr,0.8199499782925987,1,331,2,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
12,36.0,married,0.5,no,1.584315547083578,0,0,2,apr,0.8515805221792044,1,134,2,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
13,39.0,married,0.5,no,0.7086193819370216,1,0,2,apr,1.2631320763437712,2,135,5,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6931471805599453
14,48.0,married,0.5,no,0.5182821620426549,1,0,2,apr,0.467855400707446,1,267,1,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6931471805599453
15,38.0,married,0.5,no,0.5182821620426549,1,0,2,apr,1.1043184382449642,2,267,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
16,46.0,married,0.5,no,0.5058235291345025,1,1,2,apr,0.5151082855579916,1,300,2,no,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0986122886681098
17,35.0,married,1.0,no,0.7262052257408778,1,0,2,apr,0.19793578459550545,1,136,1,no,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
18,58.0,married,0.5,no,0.5186947884153342,0,0,2,apr,0.8751110195893985,1,64,2,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
19,35.0,single,1.0,no,1.5459245067117746,1,0,2,apr,1.7190810898839275,3,217,8,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
20,32.0,married,1.0,no,0.6100969518224536,1,0,2,apr,0.26269435194366847,2,133,4,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
21,30.0,single,1.0,no,0.5182821620426549,1,0,2,apr,0.800865429600188,2,314,2,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
22,53.0,married,0.0,no,0.9766625803168802,1,0,2,apr,1.0856531440256045,1,287,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
23,40.0,married,0.0,no,0.784164153441747,1,1,2,apr,0.9867131961707011,2,258,3,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098
24,57.0,married,1.0,no,1.0329797682380746,1,0,2,apr,0.722747650336236,2,261,3,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
25,37.0,married,1.0,no,0.7021158505427056,1,0,3,apr,0.7059405320198548,2,133,6,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
26,38.0,married,0.5,no,0.32742240110129506,1,0,3,apr,0.5724091393953322,1,332,5,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6931471805599453
27,54.0,married,0.0,no,0.572892277385918,1,0,3,apr,0.9085354151066769,1,332,2,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
28,56.0,married,0.0,no,0.5182821620426549,1,0,3,apr,0.9102640240072948,2,227,4,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
29,24.0,single,0.5,no,0.704516812080244,1,0,3,apr,0.8085430104992223,1,323,2,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6931471805599453
30,35.0,married,0.5,no,1.3578264397428712,1,0,3,apr,1.0577306834059814,1,135,3,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
31,31.0,single,0.5,no,0.7704674908438509,1,0,3,apr,0.8405306859926194,1,318,1,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6931471805599453
32,34.0,single,0.5,yes,0.49320771841303707,0,0,3,apr,0.2855338439134914,1,332,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,38.0,married,0.5,no,0.6257864779938304,1,0,3,apr,0.7695517165340385,2,333,1,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6931471805599453
34,56.0,married,0.5,no,1.4850321633426173,0,0,3,apr,1.1142265164696605,1,135,3,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
35,39.0,married,0.5,no,0.7116853015588563,1,0,3,apr,0.6931471805599453,1,136,5,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
36,56.0,divorced,0.5,no,0.6287472499568626,1,1,20,apr,0.3015341852599325,3,341,2,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0986122886681098
37,57.0,married,1.0,no,1.3389324903829094,1,1,20,apr,0.7494707204769895,2,294,3,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0986122886681098
38,46.0,married,0.0,no,0.6320676735941649,1,0,20,apr,0.9656938289466255,2,234,4,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
39,40.0,single,0.5,no,0.5857054986982945,1,0,20,apr,0.6357362733466063,1,346,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
40,34.0,single,1.0,no,1.9809297765698899,1,0,20,apr,0.0902250915927257,3,152,1,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
41,31.0,single,0.0,no,0.547163567466111,1,0,20,apr,0.567554760930534,3,336,6,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
42,43.0,married,0.5,no,0.559120664887233,1,0,20,apr,0.4266973282139386,2,349,3,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
43,27.0,single,0.5,no,1.2832795943890283,1,0,20,apr,0.4864977515167258,1,328,1,no,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.6931471805599453
44,53.0,married,0.5,no,0.607080358283028,1,0,20,apr,0.821838552980467,1,340,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
45,34.0,single,0.5,no,0.7228472642242268,1,0,20,apr,0.30470376002121147,3,346,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
46,33.0,married,0.5,no,1.2275999948323184,1,0,20,apr,0.7853311366380037,1,270,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
47,51.0,married,0.0,no,0.5240434948513354,1,1,20,apr,0.6780117564948446,2,329,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098
48,50.0,married,1.0,no,0.6055686421977061,1,0,20,apr,0.8497473410975435,2,340,1,no,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
49,34.0,married,0.0,no,0.9252594018569155,1,0,20,apr,0.4570444846032303,2,328,3,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
50,43.0,divorced,0.5,no,0.6224450974949938,1,1,20,apr,0.2692733230417111,1,152,1,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0986122886681098
51,35.0,single,1.0,no,0.5674063702107522,0,0,20,apr,0.1657326441008708,5,328,5,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
52,42.0,married,1.0,no,0.5475644494117482,1,0,20,apr,0.40689470091775876,2,348,3,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
53,45.0,married,0.5,no,0.7048593364884566,1,0,20,apr,0.24605503293970396,1,321,2,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6931471805599453
54,31.0,single,1.0,no,0.7510368277151368,1,0,20,apr,0.12111557861206393,1,320,2,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
55,35.0,married,0.5,no,0.6568052027520199,1,0,20,apr,0.07042246429654579,1,152,3,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471805599453
56,35.0,married,0.5,no,0.9598200769223829,1,0,20,apr,0.5125408900527457,1,271,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
57,39.0,married,0.5,no,1.1855081588715872,1,0,20,apr,1.0651546224772634,1,271,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
58,48.0,married,0.0,no,0.5182821620426549,1,0,20,apr,0.30470376002121147,2,259,1,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6931471805599453
59,33.0,single,0.5,no,2.510449657638122,0,0,20,apr,0.8786824519569958,1,334,3,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,33.0,single,0.5,no,0.6294860752582948,1,0,1,apr,1.0305386757107304,1,329,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471805599453
61,37.0,married,0.5,no,0.9150425519742224,1,1,1,apr,1.4686453962817103,1,135,1,no,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0986122886681098
62,32.0,single,1.0,no,1.0602320630470465,1,0,1,apr,1.7802485507619146,1,261,3,no,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471805599453
63,35.0,married,0.5,no,0.5182821620426549,0,0,1,apr,0.8047115881876664,1,303,1,no,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
64,49.0,married,0.0,no,0.767576851284883,1,1,1,apr,0.7872861714738072,2,225,4,no,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0986122886681098
65,33.0,married,0.5,no,1.4248685088792221,1,0,2,apr,0.40689470091775876,1,308,2,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471805599453
66,35.0,married,1.0,no,0.9342844870457966,1,0,2,apr,0.9239863662623959,1,136,1,no,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6931471805599453
67,35.0,married,0.5,no,1.2558272717877497,1,0,2,apr,0.3235130919787077,3,330,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471805599453
68,35.0,married,1.0,no,0.993226105988555,1,0,20,apr,0.04202298977484787,6,322,4,no,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471805599453
69,46.0,divorced,0.5,no,0.585319621788239,1,0,20,apr,0.7248288165400607,1,336,4,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471805599453
70,34.0,single,1.0,no,1.696968904919963,0,0,20,apr,0.3235130919787077,1,245,5,no,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
71,30.0,married,0.5,no,1.619779266228833,1,1,20,apr,0.004282661792000728,6,306,3,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.0986122886681098
